Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes,Volumes_2,Volumes_3,featids,featids_conv,orientations_0,orientations_1,orientations_2,orientations_3,orientations_4,phases_conv,rvec_0,rvec_1,rvec_2,rvec_3,rvec_comp1,rvec_comp2,rvec_comp3,E11_shape,E11_loc,E11_scale,E12_shape,E12_loc,E12_scale,E13_shape,E13_loc,E13_scale,E22_shape,E22_loc,E22_scale,E23_shape,E23_loc,E23_scale,E33_shape,E33_loc,E33_scale,S11_shape,S11_loc,S11_scale,S12_shape,S12_loc,S12_scale,S13_shape,S13_loc,S13_scale,S22_shape,S22_loc,S22_scale,S23_shape,S23_loc,S23_scale,S33_shape,S33_loc,S33_scale
43,0.86926419,0.54585254,-0.51797217,0.012451475,0.68035179,0.5183351,4.3375421,1.4164575,4.1939178,5.7043099,4.9585524,3.1137121,30.416666,37.5,55.694443,8.128891,2.9690173,1.2442605,1.6530129,0,18,6,0.25753587,1,0,281.25,281.25,281.25,43,43,43,-0.8412850526925482,-0.6502365796683627,-1.094701648253498,1,1,0.55126959,0.42608109,0.7173261,1.5260864,-0.8412850526925482,-0.6502365796683627,-1.094701648253498,-0.8521218923751663,-0.05072107518750517,0.001217044828132389,-0.8138127785424862,0.00443480157480431,0.0035678505867070337,0.8234480238963583,0.008865214027213946,0.0030731124537507794,-0.7754204233002975,0.01213921540474661,0.00215638374043059,0.5537388069230047,0.0007960236491207718,0.0025962560304495183,0.7727790739128062,-0.03821880223800764,0.0017843314133404225,-0.49535341387337084,97.53506993813332,47.4857516148362,-6.783233282072818,-134.60415125367837,0.5112442989622497,0.40761451242194124,-122.29267289800256,24.79007302375759,0.829441225786727,1332.999517718546,84.98876725269474,-5.229719177958131,-78.4303650513483,1.4581274453199633,0.6223269075565365,2.285012096170919,115.2190271684633
44,0.16918233,0.14135425,-0.59255701,-0.13841575,-0.79101878,0.063297845,1.5894287,0.96881723,3.1179905,34.954468,5.9136786,4.9409628,16.839622,56.957546,29.764151,14.679427,1.7204218,1.3083596,1.26147,0,106,16,0.00869615,1,1,1656.25,1656.25,1656.25,44,44,44,9.361414929254352,2.186738645070022,12.49678061013833,1,1,-0.59374762,-0.13869387,-0.79260814,15.766657,9.361414929254352,2.186738645070022,12.49678061013833,0.23904415311139626,-0.055257600644594604,0.004800393769000998,1.068063533689225,-0.002531416501088241,0.013285756045488921,0.10985823984916648,0.004297022623087027,0.005878041192839056,0.9604626158775379,0.021567547905871,0.0150355106865069,0.14220190412707034,-0.008561229885494868,0.0032475658825918113,0.3248546405616689,-0.046638810542167244,0.004676921121386652,0.48600047830921456,-14.721402539709395,225.02680932237672,0.23263748555253466,-71.67216728178983,58.454232729245916,0.1944870727534254,31.12648307602108,60.82100464335078,1.0034342634711622,945.846354755618,566.1217130472621,6.944936302937743,253.37704533932435,2.0801796895513887,-5.0003732046175475,-661.5191887004746,1.413343644144867
45,0.93179584,0.60739714,-0.026957687,0.84315884,0.35211927,0.40542388,0.52509719,1.5543288,6.1495485,9.5431404,8.8922586,5.7964764,50.663044,17.554348,39.902172,15.08365,6.2561421,1.1956053,0.087431945,0,115,15,0.504439,1,0,1796.875,1796.875,1796.875,45,45,45,0.6801107072018837,-0.0389704291964554,0.030203548674166,1,1,-0.99738252,0.057150144,-0.044293512,0.68189555,0.6801107072018837,-0.0389704291964554,0.030203548674166,1.0039703962179667,-0.05119270649640695,0.004704122865294693,0.9693508648051126,0.0019112100901907056,0.008449374871069653,1.0697260618703295,-0.0017124899756956976,0.012333847331472404,-0.7313899074423299,0.012510332040983427,0.0026539058352299397,0.2772744431190887,-0.00736664332239016,0.002869436154931863,0.719693861174221,-0.03802863796699693,0.0031367448845572325,-2.603201303827965,-35.15606948928199,0.28405038734137433,6.320820238805368,129.00157159861573,3.179868141175557,0.2585962233950847,-8.67648167445186,47.640333331673155,0.23723871270077396,1328.6572120361957,102.03622397178395,4.066836970328742,159.20555450747247,4.967013002555284,7.63632664108708,111.88378332636721,4.267306652345743
46,0.62892634,0.15751712,0.078922726,0.9148711,0.39579391,0.011367237,3.1881804,1.552655,1.4107955,22.762188,14.315739,3.5854342,65.317795,15.741526,12.902542,12.075111,3.0842514,2.3273728,0.11476567,0,59,10,0.00023717727,1,1,921.875,921.875,921.875,46,46,46,-6.942978945928587,-80.48291579677698,-34.8187276437543,1,1,0.078927822,0.91493022,0.39581949,87.966179,-6.942978945928587,-80.48291579677698,-34.8187276437543,0.4208226400841566,-0.07503893362927874,0.014141112322152708,0.5025766607172932,-0.016390229337660562,0.008173821940657907,1.0812874859533,-0.0013933686065020355,0.021762451063993223,0.5641196627805445,0.032995372659023525,0.01672060593349472,-0.35381320152273454,-0.009491090597345125,0.005627246321368114,0.31021440427668967,-0.04263439779779778,0.00611732250567878,3.3459534415353316,295.816473865905,22.474187519569682,0.3150873915641744,-45.53637112095103,58.171957353455596,0.10753128640507953,-34.61765593758439,39.02127109637158,4.656430262871883,1474.8105384181158,6.655722526472141,4.974338148729567,76.72628537213303,5.664500844059523,4.144133831117285,185.99098485536115,40.33516598770467
47,0.80295581,0.49395633,-0.14862038,-0.018778296,-0.85856205,0.49033719,4.8587728,1.286122,0.31080657,7.5628352,6.0726223,3.7357104,22.84091,60.56818,60.265152,9.9489775,3.2010517,1.0245795,2.5708303,0,33,11,0.19013217,1,0,515.625,515.625,515.625,47,47,47,-0.5526404393142883,-0.1801452415445794,-0.2613708079178743,1,1,0.86713004,0.28266001,0.41010839,0.63732129,-0.5526404393142883,-0.1801452415445794,-0.2613708079178743,-0.8174438984328046,-0.049865172698892124,0.004062055915266138,0.5296872001165251,-0.0041651028452175855,0.004502032533137298,0.3928026508124808,-0.008126853976580342,0.004652666928944719,0.6688123761221592,0.018369236373953594,0.010481827557473032,0.007045418331331876,-0.003932075905894426,0.0043881716486555405,0.2878233200574073,-0.053152416953392956,0.006882595660839661,-5.455479806787782,-275.2554667747713,2.083808175584622,0.06021391661650005,-28.23808963770758,41.94623150445693,-4.291318448655748,-79.0146602439482,3.1791841665069747,0.8080299564560818,940.3272586330827,348.8877221853502,0.40656813038473516,75.23330444681366,43.30488822756314,0.250295359716059,-343.67098006982405,106.96522730895154
48,0.74103737,0.5271827,-0.56884283,0.41831422,0.6982792,0.11763142,3.4110026,1.5621938,5.8165703,8.3873529,6.2153425,4.4216671,24.086538,56.490383,43.60577,11.577326,3.0312524,2.1163318,2.3347833,0,52,11,0.42198238,1,0,812.5,812.5,812.5,48,48,48,-1.862559167815192,-0.6761631241911203,-0.4936750385629907,1,1,0.91209501,0.331117,0.24175261,2.0420671,-1.862559167815192,-0.6761631241911203,-0.4936750385629907,-0.8444544626004102,-0.04725072689731742,0.003441842271516754,0.5414092454166946,-0.0010515999585285576,0.004772498503840507,0.36509564269027495,-0.002044742087859666,0.002868194388102952,1.7047977902603264,-0.3485124602725975,0.6445977259644201,0.2640365102972787,0.005713954623343495,0.003463546667276087,0.04431368456544631,-0.052019679596817074,0.0025745934383665514,-4.387753205638376,-95.33115582253981,2.38017612165969,0.38553369458508435,-21.411083384342206,37.471394994983356,0.16316177510370433,106.50417498251448,45.70201261006148,3.9434239582863047,1501.2043461729654,4.640044899339305,0.24393489603482169,-43.42537937757537,40.2149722021946,2.8487294792223556,159.92313523414538,0.26551516409412074
49,0.78926748,0.47046283,0.23201662,0.053980235,0.88077009,0.40926588,3.3532629,2.1689959,6.0057693,7.6730456,6.0560856,3.6098828,66.378204,35.929485,16.891026,10.518699,2.2343714,0.48105159,1.777191,0,39,6,0.49058673,1,1,609.375,609.375,609.375,49,49,49,-0.5669093433130001,-0.1318952920038186,-2.152073231863483,1,1,0.25428843,0.059161924,0.96531719,2.2293949,-0.5669093433130001,-0.1318952920038186,-2.152073231863483,0.5564474785210762,-0.04805329830865533,0.004272908157575278,0.5436340536845425,0.0008935153259354989,0.0031944059116961725,0.35567878862185354,0.007825428737572113,0.00454618274280872,-0.7312912927571384,0.016626958786315038,0.004259300173976665,-0.8043134939132792,0.005282201094098078,0.005178689971483063,0.19659308914525006,-0.04802955471097359,0.0029123554402753415,4.8089356053935015,30.112484175927484,7.606379161867859,0.7769365120185593,-46.75562985750152,57.66068225095554,0.3672343945775786,104.28192213380734,60.998339882227576,0.26416807928659464,1154.0053542895407,40.496121452985605,0.06897328920725762,-87.9806233485346,63.42392278392347,0.5479683313265498,0.381938361725624,155.86814342962123
50,0.71085024,0.59813857,-0.9254626,0.23665504,-0.28505588,0.079097703,4.8592496,1.071434,5.8342152,9.244833,6.571692,5.5296912,39.423077,41.282051,64.935898,13.25273,1.0497741,2.5409515,1.5504752,0,78,14,0.48724151,1,1,1218.75,1218.75,1218.75,50,50,50,11.70024296911151,-2.991932399070549,3.60384371236421,1,1,-0.92837131,0.23739885,-0.28595176,12.602978,11.70024296911151,-2.991932399070549,3.60384371236421,0.7111049405245911,-0.04550858636004687,0.003467614940684553,0.4793367711595795,-0.006473765316539632,0.004268423064000018,0.30816086026242695,0.0019583229166824567,0.0027498289584812173,-0.7342882191576109,0.013093750176240076,0.003937061247851904,0.32007764856950816,0.0012212600753742434,0.004711776239820014,0.36225399465820535,-0.04643699912180611,0.001970909064035988,-4.804476503360587,-374.9767349551971,1.6022276666963204,0.5015139415769001,-2.8384260754773294,54.90065854684367,0.1594961623719152,-54.5517390532917,75.0125412692941,0.47189461346305617,1183.2890862785107,89.55429148273933,0.1462569682679685,-9.38248924873336,38.188554591121814,0.5825433912107563,44.84248742581228,106.99960801927261
51,0.80761784,0.4873122,0.18399531,0.25879672,0.53881246,0.78028917,5.5738993,0.74512303,1.0046815,7.1364059,5.7634888,3.4776578,6.875,30.859375,16.40625,9.8474503,3.4900007,0.64626276,1.5845019,0,32,7,0.40471333,1,1,500.0,500.0,500.0,51,51,51,-0.2358040056038533,-0.3316677331674995,-0.6905292002982719,1,1,0.29419529,0.41379741,0.86152244,0.80152202,-0.2358040056038533,-0.3316677331674995,-0.6905292002982719,-0.836094175378949,-0.04247911679593159,0.005096392106896851,-0.14021062559983027,-0.0004127941259018872,0.0016397951072583696,0.14936954301117214,-0.00018240365492753666,0.0034121775213818953,-0.752454497034674,0.009610081166956608,0.005460989192190515,1.0712804432227265,-0.0014018338426100047,0.012258635161177756,-0.8343612370345932,-0.04763999938656835,0.0032471246237558747,0.3655583137465457,61.37301118215714,289.2062931594983,0.5686556545619609,-14.736834212123597,76.33989571860639,0.43602374756543816,42.51324384249247,22.30997274557071,0.38710417494099997,1345.4808534904062,112.63457452011784,0.18381593886327097,-122.63381409129505,66.00173696116937,0.43075364257803583,86.32641950279495,85.28618053378318
52,0.25488248,0.1662277,0.2231077,-0.1175498,-0.51101685,0.82174623,4.7337608,1.2929692,3.0874922,34.246048,8.7287188,5.6926417,35.110294,58.174019,13.84804,18.259289,3.2130203,0.50986582,4.1828513,0,204,18,0.017882762,1,1,3187.5,3187.5,3187.5,52,52,52,-0.2715043948800684,0.143048788099664,0.6218669800934435,1,1,0.39151752,-0.20628066,-0.89675093,0.69346678,-0.2715043948800684,0.143048788099664,0.6218669800934435,1.043660638961955,-0.0389151131857941,0.0065916804277204935,0.2945650873086878,0.0003343436476004892,0.0026893589907307494,1.0647570330662273,-0.0013768646012317194,0.015580596693566005,0.22038583978934995,0.0016029597521314404,0.003851033825990092,0.5372442012657093,-0.004289859889398235,0.006024577601030695,1.028939874060519,-0.040779477678572165,0.006873658607092662,0.38271974209479825,-73.36495612862763,130.18834674637287,0.1215945807412508,-28.009579212870836,36.2251822047184,0.6066508164725826,-125.87221006314786,126.59937367193271,-4.285651013731304,814.9244740441941,3.6181389608861347,0.526807720259028,-73.2014772638239,48.14717635431772,-2.5881003821924913,-508.06130684395384,0.20296073554037053
53,0.81450957,0.46045399,-0.24765,-0.010857864,-0.0053809024,0.96877378,3.5238917,1.758435,1.9799532,8.6443472,7.0409036,3.9803243,51.919643,6.6964288,64.151787,11.866879,0.049369812,0.50099903,6.2449241,0,56,11,0.47665307,1,1,875.0,875.0,875.0,53,53,53,0.2556324563417967,0.0112078436048013,0.0055543441161995,1,1,-0.99880493,-0.04379119,-0.021701885,0.25593832,0.2556324563417967,0.0112078436048013,0.0055543441161995,0.3539849407370105,-0.05093967106737084,0.0037152438421474768,0.46537573384752406,0.001320895548651311,0.01038711512076338,-0.11969497008034957,-0.00986272469902437,0.00862651653831395,-0.7379397771298912,0.014511469231414317,0.0049890935304252645,-0.9358419903671416,0.0005812105675552276,0.00576109156022418,0.37099714035810827,-0.043910929763821646,0.0032285120959448955,-4.28915101892111,19.76728068087121,6.9219567432840385,7.323640283405767,103.70025053130158,3.453561215542308,-0.045345336485117155,-43.074932572379204,48.75218799475087,-5.063899951042009,1003.2042906062761,0.3193170292488029,0.4057378880670729,-43.06897539608947,76.67279668050948,0.34911639813256345,-443.6185935869318,165.64797903952
54,0.7431097,0.50963259,0.25035539,0.20885669,0.50519884,0.7990464,2.5915389,2.2268922,2.0375273,13.336375,9.9103899,6.7966514,10.657583,60.432465,25.68128,18.465794,3.2730689,0.66421306,1.8825217,0,211,21,0.51635873,1,1,3296.875,3296.875,3296.875,54,54,54,-0.3133176999079055,-0.261382404482271,-0.6322521549769462,1,1,0.41637814,0.34735963,0.84022057,0.75248355,-0.3133176999079055,-0.261382404482271,-0.6322521549769462,0.2640411928406051,-0.051605974940654525,0.0032424224738296275,0.004129262775866269,-0.008122587374803387,0.00477576150211702,0.3197735582059329,0.008684820077564093,0.009167367997428205,-0.7325338912103645,0.02526786950979277,0.007800122053689131,0.9626945783117086,0.006687598811300044,0.013002517610880636,0.22701774814881157,-0.055536304786891325,0.004919454020135024,0.15826387646209156,-87.24412223961622,143.56300546423574,0.5256323313335253,-18.454224892026364,76.2007541269731,5.290611848201365,136.8621256918409,0.48998635605942814,0.6170164422833162,1130.8186383032735,266.5963249116884,5.380364075789419,113.10556059525982,7.736476105503827,0.09138329092896312,-67.02328180093258,101.96237015069163
55,0.8534385,0.73353052,-0.51631588,0.15323827,0.76057684,0.36257255,6.2056689,0.75516063,4.4665036,12.867379,10.981517,9.4386148,49.189392,30.151516,33.78788,21.434423,5.6489305,1.2106247,1.8921123,0,330,32,0.66976649,1,0,5156.25,5156.25,5156.25,55,55,55,0.2590908257516329,-0.8155270497793339,0.7274752399290918,1,1,-0.23068534,0.72611654,-0.64771831,1.1231352,0.2590908257516329,-0.8155270497793339,0.7274752399290918,0.4022654800244718,-0.050945410575760436,0.0037156178928774404,1.0327837596151679,-0.00329269650526416,0.014346258235267851,0.22755414625749676,0.0037140040827892892,0.00782160516234523,0.06676883046993874,0.01597400851839808,0.00433839042735872,0.2370049853524202,-0.0003037959329328157,0.005591894643230181,0.5091881713461679,-0.043975925107011454,0.004074434258938485,0.19151404706258807,-9.888316963151363,97.18655475122239,4.53866003117073,153.1138444518687,9.222128498417618,-0.007212361739253496,-69.23601186528515,28.810511564323207,0.2070793187434155,1248.9724360472437,82.46073819426522,9.471125490077412,123.63919418005769,0.9762440256663285,0.33453186246475153,49.941132229324666,131.3493027993689
