245
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes,Volumes_2,Volumes_3,featids,featids_conv,orientations_0,orientations_1,orientations_2,orientations_3,orientations_4,phases_conv,rvec_0,rvec_1,rvec_2,rvec_3,rvec_comp1,rvec_comp2,rvec_comp3
11,0.74870014,0.70480978,-0.35666609,-0.80773675,-0.035845466,0.46804458,3.8592739,1.9632398,0.11666947,11.336646,8.4877491,7.9901791,53.832874,47.051105,43.736187,17.545538,2.6196001,1.0753571,2.6813376,0,181,19,0.52225357,1,0,2828.125,2828.125,2828.125,11,11,11,-0.675881244309295,0.02087025072005955,-0.5348326271955557,1,1,0.78395152,-0.024207307,0.62034988,0.86214674,-0.675881244309295,0.02087025072005955,-0.5348326271955557
12,0.17625749,0.099509276,-0.10422898,0.72309637,-0.6197862,0.28658849,3.1324601,2.4483585,3.1601748,41.779636,7.3639741,4.1574612,24.047619,64.623016,18.472221,15.55001,5.9932251,1.6383117,2.5653193,0,126,18,0.0066986731,1,1,1968.75,1968.75,1968.75,12,12,12,0.3636886845382925,-2.52311734623504,2.162634664803136,1,1,-0.10879242,0.7547555,-0.64692211,3.3429599,0.3636886845382925,-2.52311734623504,2.162634664803136
13,0.85645765,0.62906599,-0.43190289,0.0096922731,-0.79896504,0.41835496,0.80955333,1.6328969,3.8935213,7.7282262,6.6188984,4.8615642,39.100876,27.741228,64.671051,11.937099,1.0659938,0.89344424,1.110868,0,57,12,0.45690188,1,1,890.625,890.625,890.625,13,13,13,1.032384074852196,-0.02316758655146489,1.909778132775813,1,1,-0.47551546,0.010670976,-0.87964261,2.1710842,1.032384074852196,-0.02316758655146489,1.909778132775813
14,0.16474275,0.11668774,-0.3258087,-0.39163643,0.83073175,0.22439796,3.1391723,1.5603856,3.122829,44.93074,7.4020138,5.242867,40.710228,35.241478,38.678978,17.382465,5.8531084,1.0690707,4.0993185,0,176,21,0.0075667505,1,1,2750,2750,2750,14,14,14,1.451924195410527,1.745276889644344,-3.702047853063391,1,1,-0.33433506,-0.40188548,0.85247177,4.3427219,1.451924195410527,1.745276889644344,-3.702047853063391
15,0.82283974,0.65803462,0.070690371,-0.55704403,0.56029731,0.60891026,1.1278001,2.2963958,2.4974411,7.8169637,6.4321084,5.1438327,23.399122,14.451755,24.978069,11.937099,1.6847736,0.72607177,3.395597,0,57,10,0.37552583,1,0,890.625,890.625,890.625,15,15,15,-0.3021824735359075,0.3477618656060262,-0.6862050073162571,1,1,0.36560965,-0.42075601,0.83023733,0.82651669,-0.3021824735359075,0.3477618656060262,-0.6862050073162571
16,0.67921638,0.58060074,-0.64374822,-0.75639778,0.070119672,0.092379048,1.0732852,2.0985634,0.75800383,8.7193527,5.922327,5.0624628,58,40.125,20.916666,12.142951,0.26053369,2.54057,4.780057,0,60,11,0.45996103,1,0,937.5,937.5,937.5,16,16,16,2.522928901534925,3.063301588582306,-0.7158690701952466,1,1,-0.62564117,-0.75964391,0.1775227,4.0325494,2.522928901534925,3.063301588582306,-0.7158690701952466
17,0.92576504,0.57369369,0.29187948,0.57282865,0.7647571,0.04266512,4.6391068,0.60670573,5.9623532,9.594965,8.8826838,5.504571,13.125,59.174107,57.8125,14.95133,2.3206146,1.9138393,3.4740365,0,112,16,0.56000525,1,0,1750,1750,1750,17,17,17,-1.225911543714346,0.7974280218097363,-0.2492441613387264,1,1,0.82634544,-0.53751922,0.16800705,1.483534,-1.225911543714346,0.7974280218097363,-0.2492441613387264
18,0.73409164,0.72368222,0.18264547,0.85359633,0.34115791,0.34874812,0.64442462,1.3408557,0.41083887,7.7777553,5.7095852,5.628623,48.326271,60.360168,52.690678,12.075111,0.95489025,0.96253777,2.5854831,0,59,12,0.52919024,1,0,921.875,921.875,921.875,18,18,18,-1.807753306599267,1.919216399233648,-4.948649758536163,1,1,0.32239956,-0.34227818,0.88255543,5.607183,-1.807753306599267,1.919216399233648,-4.948649758536163
19,0.95391291,0.79992759,-0.64374822,-0.75639778,0.070119672,0.092379048,3.3194346,2.4093044,2.4873428,6.4634023,6.1655226,5.1702538,23.194445,57.638889,29.916666,11.032603,5.7384152,2.4215546,1.3690875,0,45,11,0.35892591,1,0,703.125,703.125,703.125,19,19,19,1.670135037811832,-2.370024215182639,0.4372002581520107,1,1,-0.56959379,0.80828857,-0.14910564,2.9321511,1.670135037811832,-2.370024215182639,0.4372002581520107
20,0.45945489,0.3669726,-0.053436019,0.46799204,0.12821786,0.87274748,6.2664456,0.72944093,5.468081,12.454875,5.7224536,4.5705976,12.179487,35.608974,64.006409,13.25273,4.6802087,0.98092258,1.3112377,0,78,12,0.56840324,1,1,1218.75,1218.75,1218.75,20,20,20,0.06122735565580584,-0.5362284499563046,-0.1469128937902049,1,1,-0.10946149,0.95866239,0.262649,0.55935067,0.06122735565580584,-0.5362284499563046,-0.1469128937902049
